Date,Time,X,Y   S,peed  Te,mperature,Diameter,EnergyA,EnergyB
12/6/2021,08:08.5,-17.07,32.75,135,2998,16,412533.7,433171.8
12/6/2021,08:08.5,-17.07,32.75,160,2873,31,1261017.5,1346085.2
12/6/2021,08:08.6,-17.07,32.75,169,3083,21,841743.8,855787.5
12/6/2021,08:08.7,-17.07,32.75,139,3095,45,3916247.3,3875705.8
12/6/2021,08:08.7,-17.07,32.75,192,3412,42,5703314.5,4895778.5
12/6/2021,08:08.7,-17.07,32.75,188,3180,24,1388528.1,1252381.8
12/6/2021,08:08.7,-17.07,32.75,166,3305,20,1065461.5,965433.3
12/6/2021,08:08.7,-17.07,32.75,144,3354,20,1196454.2,1068417.7
12/6/2021,08:08.8,-17.07,32.75,144,3079,29,1571266.4,1576460.1
12/6/2021,08:08.8,-17.07,32.75,133,3468,22,1763533.5,1429209.9
12/6/2021,08:08.8,-17.07,32.75,196,3648,23,2292401.8,1902204.5
12/6/2021,08:08.8,-17.07,32.75,176,3420,22,1586332.2,1359037.8
12/6/2021,08:08.8,-17.07,32.75,206,3548,16,949211.7,791474
12/6/2021,08:08.8,-17.07,32.75,180,3711,18,1532219.1,1196320
12/6/2021,08:08.9,-17.07,32.75,196,3178,28,1661732.9,1624876
12/6/2021,08:09.0,-17.07,32.75,166,3254,24,1434923.7,1365420.4
12/6/2021,08:09.0,-17.07,32.75,196,3355,18,898167.9,812340.9
12/6/2021,08:09.0,-17.07,32.75,184,3210,27,1696700.6,1559154.5
12/6/2021,08:09.2,-17.07,32.75,157,3066,53,5149625.9,5041958.1
12/6/2021,08:09.2,-17.07,32.75,154,3324,32,2841717.6,2504821.4
12/6/2021,08:09.3,-17.07,32.75,188,3183,17,676878.9,604454.2
12/6/2021,08:09.9,-17.07,32.75,192,3334,14,554354.2,476932.5
12/6/2021,08:09.9,-17.07,32.75,160,3115,19,753818.1,725544
12/6/2021,08:09.9,-17.07,32.75,163,3274,23,1349281.9,1249468.7
12/6/2021,08:09.1,-17.07,32.75,180,3230,33,2597466.7,2457351
12/6/2021,08:09.2,-17.07,32.75,154,3063,43,3578154.6,3429006.2
12/6/2021,08:09.2,-17.07,32.75,58,3052,7,62370.1,80743.4
12/6/2021,08:09.2,-17.07,32.75,196,3517,15,790407.1,662429
12/6/2021,08:09.3,-17.07,32.75,133,2981,33,1654510.3,1738472.7
12/6/2021,08:09.3,-17.07,32.75,144,3088,48,4525047.2,4313955.3
12/6/2021,08:09.3,-17.07,32.75,166,3374,19,1144647,983499.8
12/6/2021,08:09.4,-17.07,32.75,79,3254,25,1481571.7,1395086.7
12/6/2021,08:09.4,-17.07,32.75,166,3070,26,1216795.4,1237431.7
12/6/2021,08:09.4,-17.07,32.75,51,2661,21,391827.4,438030.6
12/6/2021,08:09.4,-17.07,32.75,173,3326,20,1117019.1,980479.1
12/6/2021,08:09.5,-17.07,32.75,169,3113,42,3502665.2,3398869.2
12/6/2021,08:09.5,-17.07,32.75,117,3644,13,719781,583487.5
12/6/2021,08:09.5,-17.07,32.75,206,2924,13,244208,260883.2
12/6/2021,08:09.5,-17.07,32.75,79,3349,26,1877126.6,1742313
12/6/2021,08:09.5,-17.07,32.75,180,3508,16,959975,811115.7
12/6/2021,08:09.6,-17.07,32.75,346,2923,37,2054713.3,2069600
12/6/2021,08:09.7,-17.07,32.75,144,3216,33,2589271.2,2365742.3
12/6/2021,08:09.7,-17.07,32.75,65,3470,15,744835,665480.3
12/6/2021,08:09.7,-17.07,32.75,169,3200,28,1767005,1652072.3
12/6/2021,08:09.7,-17.07,32.75,173,3463,17,972487.1,834854.8
12/6/2021,08:09.7,-17.07,32.75,152,3242,24,1462361,1328108.1
